fig_num,bricklink_id
fig-000313,cty0388
fig-000314,pln195
fig-000315,soc095
fig-000316,sw0275
fig-000317,frnd0054
fig-000318,gen003
fig-000319,pln055
fig-000320,cc4449
fig-000321,pln091
fig-000322,njo0057
fig-000323,poc029
fig-000324,cty0341
fig-000325,adv004
fig-000326,soc038
fig-000327,adv025
fig-000328,ixs008
fig-000329,cas209
fig-000330,sw0049
fig-000331,shg007
fig-000332,sw0514
fig-000333,cas246
fig-000334,cty0626
fig-000335,jbr008
fig-000336,loc004
fig-000337,dim016
fig-000338,sw0506
fig-000339,cas022a
fig-000340,cty0509
fig-000341,sp007
fig-000342,fire005
fig-000343,twn096
fig-000344,but022
fig-000345,hgh004
fig-000346,cty0115
fig-000347,loc049
fig-000348,hor008
fig-000349,cas066
fig-000350,dp033
fig-000351,zip026
fig-000352,shell001
fig-000353,oct021
fig-000354,pln070
fig-000355,loc111
fig-000356,aqu008
fig-000357,rck003
fig-000358,oct031
fig-000359,adv010
fig-000360,oct040
fig-000361,spp001
fig-000362,cas049
fig-000363,jstr010
fig-000364,hol008
fig-000365,cty0016
fig-000366,col066
fig-000367,shell006
fig-000368,njo0146
fig-000369,adv020
fig-000370,rac020
fig-000371,twn010
fig-000372,rck002
fig-000373,sp004
fig-000374,hol007
fig-000375,cty0110
fig-000376,stu001
fig-000377,stu016
fig-000378,col183
fig-000379,old013
fig-000380,cty1725
fig-000381,soc085
fig-000382,pi005
fig-000383,pi043
fig-000384,shell013
fig-000385,pln004
fig-000386,zip016
fig-000387,zip044
fig-000388,cas148
fig-000389,zip003
fig-000390,cas142
fig-000391,zip016
fig-000392,frnd0010
fig-000393,twn062
fig-000394,but007
fig-000395,par053
fig-000396,oct022
fig-000397,hol006
fig-000398,par032
fig-000399,pck008
fig-000400,pi065
fig-000401,pln148
fig-000402,cty0163
fig-000403,pln129
fig-000404,pi017
fig-000405,zip004
fig-000406,sp001
fig-000407,cas149
fig-000408,cas420a
fig-000409,pck016
fig-000410,oct011
fig-000411,iaj001
fig-000412,pln011
fig-000413,cty0891
fig-000414,sim013
fig-000415,alp019
fig-000416,col082
fig-000417,njo0001
fig-000418,njo0007
fig-000419,arc008
fig-000420,cty0252
fig-000421,inf001
fig-000422,njo0015
fig-000423,par064
fig-000424,fre001
fig-000425,zip020
fig-000426,njo0026
fig-000427,pln172
fig-000428,jstr009
fig-000429,bikerb
